time_stamp	x	y
1660822275.1646175	1379	699
1660822275.1646633	1379	699
1660822275.164709	1379	699
1660822275.1647553	1379	699
1660822275.1648011	1379	699
1660822275.1648848	1379	699
1660822275.1649344	1379	699
1660822275.164981	1379	699
1660822275.1650271	1379	699
1660822275.1650724	1379	699
1660822275.1651177	1379	699
1660822275.1651633	1379	699
1660822275.1652088	1379	699
1660822275.1652548	1379	699
1660822275.1653004	1379	699
1660822275.165347	1379	699
1660822275.1653934	1379	699
1660822275.1654396	1379	699
1660822275.1654854	1379	699
1660822275.1655314	1379	699
1660822275.165577	1379	699
1660822275.1656232	1379	699
1660822275.165669	1379	699
1660822275.1657145	1379	699
1660822275.1657612	1379	699
1660822275.165807	1379	699
1660822275.165853	1379	699
1660822275.1658986	1379	699
1660822275.165944	1379	699
1660822275.1659896	1379	699
1660822275.166059	1379	699
1660822275.166178	1376	702
1660822275.1662319	1376	702
1660822275.166288	1376	702
1660822275.166339	1376	702
1660822275.1663883	1376	702
1660822275.1664453	1376	702
1660822275.166493	1376	702
1660822275.1665406	1376	702
1660822275.1665878	1376	702
1660822275.166635	1376	702
1660822275.1666818	1376	702
1660822275.1667285	1376	702
1660822275.1667745	1376	702
1660822275.1668205	1376	702
1660822275.166867	1376	702
1660822275.166913	1376	702
1660822275.1669602	1376	702
1660822275.1670067	1376	702
1660822275.1670542	1376	702
1660822275.167101	1376	702
1660822275.1671467	1376	702
1660822275.167193	1376	702
1660822275.1672385	1376	702
1660822275.1672843	1376	702
1660822275.1673298	1376	702
1660822275.167375	1376	702
1660822275.1674206	1376	702
1660822275.1674662	1376	702
1660822275.1675131	1376	702
1660822275.1675587	1376	702
1660822275.1676044	1376	702
1660822275.16765	1376	702
1660822275.1676955	1376	702
1660822275.1677408	1376	702
1660822275.1677868	1376	702
1660822275.167832	1376	702
1660822275.1678772	1376	702
1660822275.1679235	1376	702
1660822275.1679688	1376	702
1660822275.1680143	1376	702
1660822275.1680603	1376	702
1660822275.1681063	1376	702
1660822275.168152	1376	702
1660822275.1681976	1376	702
1660822275.1682432	1376	702
1660822275.1682887	1376	702
1660822275.1683352	1376	702
1660822275.1683805	1376	702
1660822275.1684258	1376	702
1660822275.168471	1376	702
1660822275.1685169	1376	702
1660822275.1685624	1376	702
1660822275.1686082	1376	702
1660822275.1686547	1376	702
1660822275.1687005	1376	702
1660822275.168747	1376	702
1660822275.1687922	1376	702
1660822275.16886	1376	702
1660822275.1689188	1376	702
1660822275.1689653	1376	702
1660822275.1690114	1376	702
1660822275.1690571	1376	702
1660822275.1691027	1376	702
1660822275.1691482	1376	702
1660822275.169194	1376	702
1660822275.1692398	1376	702
1660822275.169285	1376	702
1660822275.1693304	1376	702
1660822275.1693752	1376	702
1660822275.1694207	1376	702
1660822275.1694777	1376	702
1660822275.1695263	1376	702
1660822275.1695743	1376	702
1660822275.1696222	1376	702
1660822275.1696706	1376	702
1660822275.169719	1376	702
1660822275.169767	1376	702
1660822275.169815	1376	702
1660822275.169863	1376	702
1660822275.1699193	1376	702
1660822275.1699653	1376	702
1660822275.170011	1376	702
1660822275.170057	1376	702
1660822275.1701026	1376	702
1660822275.1701484	1376	702
1660822275.1701941	1376	702
1660822275.17024	1376	702
1660822275.1702867	1376	702
1660822275.1703324	1376	702
1660822275.1704383	1376	702
1660822275.1705053	1376	702
1660822275.1705546	1376	702
1660822275.170602	1376	702
1660822275.170649	1376	702
1660822275.1706963	1376	702
1660822275.1707444	1376	702
1660822275.1707916	1376	702
1660822275.170839	1376	702
1660822275.1708853	1376	702
1660822275.170932	1376	702
1660822275.1709785	1376	702
1660822275.1710246	1376	702
1660822275.1710708	1376	702
1660822275.171117	1376	702
1660822275.1711626	1376	702
1660822275.1712084	1376	702
1660822275.171255	1376	702
1660822275.1713011	1376	702
1660822275.1713474	1376	702
1660822275.1713934	1376	702
1660822275.171439	1376	702
1660822275.1714847	1376	702
1660822275.1715302	1376	702
1660822275.1715758	1376	702
1660822275.1716218	1376	702
1660822275.1716685	1376	702
1660822275.1717145	1376	702
1660822275.17176	1376	702
1660822275.1718068	1376	702
1660822275.1718528	1376	702
1660822275.1718988	1376	702
1660822275.1719446	1376	702
1660822275.171991	1376	702
1660822275.1720371	1376	702
1660822275.1720839	1376	702
1660822275.1721299	1376	702
1660822275.1722007	1376	702
1660822275.1722615	1376	702
1660822275.17231	1376	702
1660822275.1723576	1376	702
1660822275.1724048	1376	702
1660822275.172451	1376	702
1660822275.172497	1376	702
1660822275.1725433	1376	702
1660822275.1725893	1376	702
1660822275.1726353	1376	702
1660822275.1726823	1376	702
1660822275.1727285	1376	702
1660822275.172775	1376	702
1660822275.1728384	1376	702
1660822275.1728983	1376	702
1660822275.1729462	1376	702
1660822275.1729925	1376	702
1660822275.173039	1376	702
1660822275.173085	1376	702
1660822275.1731317	1376	702
1660822275.1731772	1376	702
1660822275.1732233	1376	702
1660822275.1732697	1376	702
1660822275.1733708	1376	702
1660822275.1734445	1376	702
1660822275.1735013	1376	702
1660822275.173569	1376	702
1660822275.1736352	1376	702
1660822275.1737	1376	702
1660822275.1737647	1376	702
1660822275.1738195	1376	702
1660822275.1738708	1376	702
1660822275.1739202	1376	702
1660822275.1739688	1376	702
1660822275.1740174	1376	702
1660822275.1740668	1376	702
1660822275.1741648	1374	703
1660822275.1742187	1374	703
1660822275.1743398	1374	703
1660822275.1744225	1374	703
1660822275.1744814	1374	703
1660822275.1745403	1374	703
1660822275.1745973	1374	703
1660822275.1746497	1374	703
1660822275.1746995	1374	703
1660822275.1747487	1374	703
1660822275.1747978	1374	703
1660822275.1748462	1374	703
1660822275.174894	1374	703
1660822275.1749425	1374	703
1660822275.1749907	1374	703
1660822275.175038	1374	703
1660822275.1750855	1374	703
1660822275.1751337	1374	703
1660822275.175183	1374	703
1660822275.175232	1374	703
1660822275.1752799	1374	703
1660822275.1753275	1374	703
1660822275.1753747	1374	703
1660822275.1754227	1374	703
1660822275.1754706	1374	703
1660822275.175518	1374	703
1660822275.1755657	1374	703
1660822275.1756132	1374	703
1660822275.1756618	1374	703
1660822275.1757095	1374	703
1660822275.1757572	1374	703
1660822275.1758046	1374	703
1660822275.1758523	1374	703
1660822275.1759	1374	703
1660822275.1759472	1374	703
1660822275.1759953	1374	703
1660822275.1760442	1374	703
1660822275.176093	1374	703
1660822275.1761408	1374	703
1660822275.1761885	1374	703
1660822275.176236	1374	703
1660822275.1762834	1374	703
1660822275.1763308	1374	703
1660822275.1763787	1374	703
1660822275.1764264	1374	703
1660822275.176474	1374	703
1660822275.1765225	1374	703
1660822275.1765697	1374	703
1660822275.176617	1374	703
1660822275.1766639	1374	703
1660822275.1767108	1374	703
1660822275.1767585	1374	703
1660822275.176806	1374	703
1660822275.176864	1374	703
1660822275.1769137	1374	703
1660822275.1769624	1374	703
1660822275.17701	1374	703
1660822275.1770573	1374	703
1660822275.177105	1374	703
1660822275.1771524	1374	703
1660822275.1772	1374	703
1660822275.177247	1374	703
1660822275.1772943	1374	703
1660822275.1773415	1374	703
1660822275.1773894	1374	703
1660822275.1774364	1374	703
1660822275.1774836	1374	703
1660822275.1775308	1374	703
1660822275.177578	1374	703
1660822275.1776254	1374	703
1660822275.1776721	1374	703
1660822275.1777194	1374	703
1660822275.177766	1374	703
1660822275.1778135	1374	703
1660822275.1778603	1374	703
1660822275.1779077	1374	703
1660822275.1779547	1374	703
1660822275.1780016	1374	703
1660822275.1780488	1374	703
1660822275.178096	1374	703
1660822275.178143	1374	703
1660822275.1781898	1374	703
1660822275.178238	1374	703
1660822275.178285	1374	703
1660822275.1783319	1374	703
1660822275.178379	1374	703
1660822275.1784267	1374	703
1660822275.1784742	1374	703
1660822275.1785214	1374	703
1660822275.178571	1374	703
1660822275.1786218	1374	703
1660822275.1786695	1374	703
1660822275.1787283	1374	703
1660822275.1787853	1374	703
1660822275.1788394	1374	703
1660822275.1788976	1374	703
1660822275.1789534	1374	703
1660822275.1790087	1374	703
1660822275.1790648	1374	703
1660822275.1791196	1374	703
1660822275.1791725	1374	703
1660822275.1792293	1374	703
1660822275.179288	1374	703
1660822275.1793442	1374	703
1660822275.1793973	1374	703
1660822275.179451	1374	703
1660822275.179504	1374	703
1660822275.1795819	1374	703
1660822275.1796632	1374	703
1660822275.1797256	1374	703
1660822275.1797926	1374	703
1660822275.179849	1374	703
1660822275.1799026	1374	703
1660822275.179957	1374	703
1660822275.1800141	1374	703
1660822275.1800704	1374	703
1660822275.1801274	1374	703
1660822275.1801796	1374	703
1660822275.1802278	1374	703
1660822275.1802754	1374	703
1660822275.1803226	1374	703
1660822275.1803699	1374	703
1660822275.1804175	1374	703
1660822275.180465	1374	703
1660822275.1805117	1374	703
1660822275.1805577	1374	703
1660822275.180604	1374	703
1660822275.1806498	1374	703
1660822275.1806958	1374	703
1660822275.1807418	1374	703
1660822275.180788	1374	703
1660822275.180859	1374	703
1660822275.18092	1374	703
1660822275.1809676	1374	703
1660822275.1810145	1374	703
1660822275.1810613	1374	703
1660822275.1811092	1374	703
1660822275.181156	1374	703
1660822275.1812027	1374	703
1660822275.1812491	1374	703
1660822275.1812952	1374	703
1660822275.181341	1374	703
1660822275.181387	1374	703
1660822275.1814332	1374	703
1660822275.181479	1374	703
1660822275.1815255	1374	703
1660822275.1815712	1374	703
1660822275.1816173	1374	703
1660822275.1816735	1374	703
1660822275.1818025	1374	703
1660822275.1819	1374	703
1660822275.1819682	1374	703
1660822275.18203	1374	703
1660822275.1821005	1374	703
1660822275.1822193	1371	706
1660822275.1823072	1371	706
1660822275.1823854	1371	706
1660822275.1824555	1371	706
1660822275.182515	1371	706
1660822275.1825838	1371	706
1660822275.1826575	1371	706
1660822275.1827242	1371	706
1660822275.1827896	1371	706
1660822275.1828542	1371	706
1660822275.1829183	1371	706
1660822275.1829815	1371	706
1660822275.1830447	1371	706
1660822275.1831083	1371	706
1660822275.1831725	1371	706
1660822275.1832361	1371	706
1660822275.1833003	1371	706
1660822275.1833646	1371	706
1660822275.183428	1371	706
1660822275.1834915	1371	706
1660822275.1835546	1371	706
1660822275.1836174	1371	706
1660822275.1836874	1371	706
1660822275.1837413	1371	706
1660822275.1837947	1371	706
1660822275.1838481	1371	706
